Taxon,counts,CommonName,tms
Pyrrhura picta,1,Painted parakeet,"Painted parakeet,Pyrrhura,Santarem parakeet,Rose-fronted parakeet,Bonaparte's parakeet,P. picta,Sinú parakeet,Grey-breasted parakeet,Arini (tribe),Pfrimer's parakeet"
Tanygnathus lucionensis,1,Blue-naped parrot,"Blue-naped parrot,Tanygnathus,New Generation Currency Series,Philippine peso,Philippine five hundred-peso note,Psittaculini,Psittaculinae,Psittacula,Puerto Princesa Subterranean River National Park,Banknotes of the Philippine peso"
Antaresia childreni,1,Children's python,"Children's python,Antaresia,Pygmy python,List of pythonid species and subspecies,Rainbow Serpent,List of snakes by scientific name,John George Children,List of least concern reptiles,List of reptiles of Western Australia"
Antaresia stimsoni,1,Children's python,"Children's python,Antaresia,List of pythonid species and subspecies,List of snakes by scientific name,Morelia imbricata,List of least concern reptiles,List of reptiles of Western Australia"
Leiopython hoserae,1,Leiopython fredparkeri,Leiopython fredparkeri
Liasis olivaceus,1,Olive python,"Olive python,Liasis olivaceus barroni,Snakes of Australia,List of pythonid species and subspecies,Liasis,Apodora,List of largest snakes,Freshwater crocodile,King brown snake,Olive (disambiguation)"
Morelia boeleni,1,Simalia boeleni,"Simalia boeleni,List of pythonid species and subspecies,Leo Brongersma,Simalia,List of snakes by scientific name"
Morelia carinata,1,Rough-scaled python,"Rough-scaled python,List of pythonid species and subspecies,Snakes of Australia,Elaphe carinata,Morelia (snake),Green tree python,List of snakes by scientific name,Kimberley tropical savanna,List of reptiles of Western Australia,List of largest snakes"
Morelia tracyae,1,Simalia tracyae,"Simalia tracyae,Amethystine python,List of pythonid species and subspecies,Tracy M. Barker,David G. Barker,Simalia,List of snakes by scientific name"
Python breitensteini,1,Borneo python,"Borneo python,Python (genus),Sumatran short-tailed python,List of pythonid species and subspecies,Egg tooth,List of snakes by scientific name,List of least concern reptiles,List of domesticated animals"
Python curtus,1,Sumatran short-tailed python,"Sumatran short-tailed python,Python brongersmai,Borneo python,Python (genus),List of pythonid species and subspecies,Red blood,Columbus Zoo and Aquarium,Olive Griffith Stull,List of snakes by scientific name,List of reptiles of Sumatra"
Python sebae,1,Central African rock python,"Central African rock python,Southern African rock python,Python (genus),List of largest snakes,Sebae,Pythonidae,Rock python,Snake,List of pythonid species and subspecies,List of invasive species in Florida"
Sagittarius serpentarius,1,Secretarybird,"Secretarybird,Sagittarius,Sagittariidae,Myrrh,List of largest birds,Bird of prey,Kalahari Desert,Ophiuchus,Land of Punt,Bird anatomy"
Psammocora spp.,1,Stony corals,List of marine cnidarians of South Africa
Aegolius funereus,1,Boreal owl,"Boreal owl,Aegolius,List of nocturnal birds,Spotted owlet,List of owl species,List of birds of Italy,Common buzzard,Barred owl,Ural owl,Eurasian eagle-owl"
Bubo lacteus,1,Verreaux's eagle-owl,"Verreaux's eagle-owl,Horned owl,Barn owl,Kalahari Desert,Kori bustard,Bateleur,List of owl species,Thick-billed raven,Western barn owl,Pel's fishing owl"
Strix uralensis,1,Ural owl,"Ural owl,Strix (bird),Eurasian eagle-owl,Common buzzard,Long-eared owl,Black woodpecker,List of owl species,Powerful owl,Tawny owl,Northern goshawk"
Gracula religiosa,1,Common hill myna,"Common hill myna,Gracula,Myna,List of Indian state birds,Meghalaya,Syrinx (bird anatomy),Northeast India,List of Indian state symbols,Puerto Princesa Subterranean River National Park,Aves in the 10th edition of Systema Naturae"
Hippocampus abdominalis,1,Big-belly seahorse,"Big-belly seahorse,Seahorse,Pregnancy in fish,Mysida,List of largest fish,Columbus Zoo and Aquarium,Hippocampinae,List of marine aquarium fish species,Great seahorse,Indianapolis Zoo"
Hippocampus erectus,1,Lined seahorse,"Lined seahorse,Seahorse,H. erectus (disambiguation),Pregnancy in fish,Hudson River,Glugea,List of animals of Long Island Sound,Spotted seahorse,Short-snouted seahorse,State University of New York at Morrisville"
Tapirus terrestris,1,South American tapir,"South American tapir,Tapirus,Tapir,Malayan tapir,Odd-toed ungulate,T. terrestris,List of odd-toed ungulates by population,Hydrochoerus,List of perissodactyls,Nukak"
Tupinambis spp.,1,Lizard,"List of species protected by CITES Appendix II,Mammal,Kwaza language,Brachygastra lecheguana,Gas exchange,Evolution of mammals"
Homopus areolatus,1,Parrot-beaked tortoise,"Homopus areolatus,Homopus,Tortoise,Homopus femoralis,Harmony Flats Nature Reserve,Karoo Desert National Botanical Garden,Helderberg,Table Bay Nature Reserve,Nature's Valley,Biodiversity of Cape Town"
Kinixys natalensis,1,Natal hinge-back tortoise,"Natal hinge-back tortoise,Kinixys,Tortoise,List of reptiles of South Africa,IUCN Red List near threatened species (Animalia),List of near threatened reptiles,List of reptiles of Africa,Dietary biology of the Nile crocodile,List of data deficient reptiles,IUCN Red List data deficient species (Chordata)"
Kinixys zombensis,1,Kinixys,"Kinixys,Bell's hinge-back tortoise,List of reptiles in Madagascar,List of reptiles of South Africa"
Manouria impressa,1,Impressed tortoise,"Impressed tortoise,Manouria,Tortoise,Living fossil,List of reptiles of China,List of endangered and protected species of China,List of reptiles of South Asia,List of reptiles of Thailand,List of vulnerable reptiles,Turtle Conservancy"
Psammobates oculifer,1,Psammobates,"Psammobates,Serrated tortoise,Tortoise,Forest hinge-back tortoise,Serrated tortoise (disambiguation),Langjan Nature Reserve,List of reptiles of South Africa,Ringed map turtle"
Brachypelma auratum,1,Brachypelma auratum,"Brachypelma auratum,Brachypelma,Michoacán,List of Theraphosidae species"
Brachypelma klaasi,1,Brachypelma klaasi,"Brachypelma klaasi,Brachypelma,Tarantula,Nayarit,List of Theraphosidae species,Brachypelma baumgarteni,Theraphosoidina"
Brachypelma smithi,1,Brachypelma smithi,"Brachypelma smithi,Brachypelma hamorii,Brachypelma,Brachypelma auratum,Brachypelma boehmei,Brachypelma emilia,Brachypelma baumgarteni,Tliltocatl verdezi,Brachypelma albiceps,Tliltocatl kahlenbergi"
Brachypelma vagans,1,Tliltocatl vagans,"Tliltocatl vagans,Brachypelma,Pedipalp,Tliltocatl,Tliltocatl epicureanus,Arthropods in culture,Avicularia,Centruroides gracilis,Euathlus,List of Theraphosidae species"
Brachypelma verdezi,1,Tliltocatl verdezi,"Tliltocatl verdezi,Tliltocatl,Aphonopelma pallidum,List of Theraphosidae species"
Poecilotheria fasciata,1,Tarantula,"Poecilotheria fasciata,Poecilotheria,Poecilotheria regalis,Poecilotheria vittata,List of Theraphosidae species,Udawattakele Forest Reserve,List of tarantulas of Sri Lanka,List of spiders of Sri Lanka,Pathophysiology of spider bites,List of data deficient invertebrates"
Poecilotheria smithi,1,Tarantula,"Poecilotheria smithi,Poecilotheria,List of Theraphosidae species,List of tarantulas of Sri Lanka,List of spiders of Sri Lanka,IUCN Red List critically endangered species (Animalia),Wildlife of Sri Lanka,List of critically endangered invertebrates,List of critically endangered arthropods,List of vulnerable invertebrates"
Poecilotheria striata,1,Tarantula,"Poecilotheria striata,Poecilotheria,Poecilotheria vittata,List of Theraphosidae species,List of tarantulas of Sri Lanka,List of vulnerable arthropods,List of vulnerable invertebrates,List of spiders of India,IUCN Red List vulnerable species (Animalia),List of spiders of Sri Lanka"
Poecilotheria vittata,1,Tarantula,"Poecilotheria vittata,Poecilotheria,List of Theraphosidae species,List of tarantulas of Sri Lanka,List of spiders of Sri Lanka,IUCN Red List critically endangered species (Animalia),List of spiders of India,IUCN Red List endangered species (Animalia),List of least concern arthropods,IUCN Red List vulnerable species (Animalia)"
Eudocimus ruber,1,Scarlet ibis,"Scarlet ibis,Eudocimus,Guará,American white ibis,Lençóis Maranhenses National Park,Ibis,Threskiornithidae,List of national birds,National symbols of Trinidad and Tobago,Cotswold Wildlife Park"
Cyclanorbis senegalensis,1,Senegal flapshell turtle,"Senegal flapshell turtle,Cyclanorbis,List of species protected by CITES Appendix II,List of reptiles of Ghana,Turtle classification,IUCN Red List near threatened species (Animalia),Tomas Diagne,List of vulnerable reptiles,List of reptiles of Sudan,IUCN Red List vulnerable species (Animalia)"
Amazilia amazilia,1,Amazilia hummingbird,"Amazilia hummingbird,Amazilia,Snowy-bellied hummingbird,Buff-bellied hummingbird,Honduran emerald,Violet-crowned hummingbird,Azure-crowned hummingbird,Glittering-throated emerald,Berylline hummingbird,Rufous-tailed hummingbird"
Calypte anna,1,Anna's hummingbird,"Anna's hummingbird,Hummingbird,Calypte,List of birds by flight speed,Rufous hummingbird,Costa's hummingbird,Sonation,Calliope hummingbird,List of hummingbird species,Chaparral"
Tupaia belangeri,1,Northern treeshrew,"Northern treeshrew,Tupaia (mammal),Treeshrew,Brain–body mass ratio,Common treeshrew,Human brain,Large treeshrew,Slender treeshrew,Nicobar treeshrew,Pygmy treeshrew"
Tyto alba,1,Barn owl,"Barn owl,Tyto,Western barn owl,Owl,Barn-owl,Andaman masked owl,Tyto pollens,Rapunzel,Allofeeding,Alba (disambiguation)"
Varanus indicus,1,Monitor lizard,"Mangrove monitor,Monitor lizard,Varanus spinulosus,Blue-tailed monitor,Peach-throated monitor,Quince monitor,Ceram mangrove monitor,Komodo dragon,Varanus zugorum,Bengal monitor"
Varanus jobiensis,1,Monitor lizard,"Peach-throated monitor,Monitor lizard,Komodo dragon,List of largest extant lizards,Bengal monitor,Megalania,Varanus salvadorii,Perentie,Asian water monitor,Rock monitor"
Varanus kordensis,1,Monitor lizard,"Varanus kordensis,Monitor lizard,Varanus (Hapturosaurus),Emerald tree monitor,Black tree monitor,List of data deficient reptiles"
Varanus macraei,1,Monitor lizard,"Varanus macraei,Monitor lizard,Varanus (Hapturosaurus),Wild Place Project,Bristol Zoo,List of largest extant lizards,Varanus kordensis,List of animals by number of neurons,Batanta,Emerald tree monitor"
Varanus melinus,1,Quince monitor,"Quince monitor,Monitor lizard,Komodo dragon,Bengal monitor,List of largest extant lizards,Megalania,Rock monitor,Varanus salvadorii,Asian water monitor,Savannah monitor"
Varanus mertensi,1,Mertens' water monitor,"Mertens' water monitor,Cane toad,Monitor lizard,Robert Mertens,Komodo dragon,Bengal monitor,List of largest extant lizards,Megalania,Varanus salvadorii,Perentie"
Varanus prasinus,1,Emerald tree monitor,"Emerald tree monitor,Monitor lizard,Varanus (Hapturosaurus),Varanus kordensis,Varanus macraei,Black tree monitor,Varanus reisingeri,Komodo dragon,Varanidae,Canopy goanna"
Varanus primordius,1,Northern blunt-spined monitor,"Northern blunt-spined monitor,Monitor lizard,Spiny-tailed monitor,Varanus (Odatria),List of least concern reptiles"
Varanus reisingeri,1,Monitor lizard,"Varanus reisingeri,Monitor lizard,Varanus macraei,Varanus (Hapturosaurus),Varanus kordensis,Emerald tree monitor,List of data deficient reptiles"
Varanus salvadorii,1,Komodo dragon,"Varanus salvadorii,Komodo dragon,List of largest extant lizards,Monitor lizard,Bengal monitor,Lace monitor,Rock monitor,Asian water monitor,Megalania,Perentie"
Varanus similis,1,Varanus similis,"Varanus similis,Monitor lizard,Varanus timorensis,Varanus (Odatria),List of largest extant lizards,List of invasive species in Florida,List of invasive species in North America,List of endangered reptiles,Columbus Zoo and Aquarium,Island gigantism"
Varanus storri,1,Varanus storri,"Varanus storri,Monitor lizard,Varanus ocreatus,Storr's monitor,Varanus (Odatria),Glen Milton Storr,List of reptiles of Western Australia,Goanna"
Varanus tristis,1,Black-headed monitor,"Black-headed monitor,Monitor lizard,Varanus (Odatria),Komodo dragon,Bengal monitor,Varanus salvadorii,Megalania,Perentie,Asian water monitor,Lace monitor"
Varanus yuwonoi,1,Monitor lizard,"Varanus yuwonoi,Monitor lizard,List of largest extant lizards,Rennell Island monitor,Blue-tailed monitor,Mussau Island blue-tailed monitor,David G. Barker,List of species protected by CITES Appendix II,IUCN Red List critically endangered species (Animalia)"
Pseudocerastes urarachnoides,1,Spider-tailed horned viper,"Spider-tailed horned viper,Pseudocerastes,Field's horned viper,List of viperine species and subspecies,Tail vibration,Caudal luring,List of snakes by scientific name,Mimicry in vertebrates,List of data deficient reptiles,IUCN Red List data deficient species (Chordata)"
Trimeresurus mangshanensis,1,Mangshan pit viper,"Protobothrops mangshanensis,List of reptiles of China,List of species protected by CITES Appendix II,Wildlife of China,List of crotaline species and subspecies,List of snakes by scientific name"
Hemigalus derbyanus,1,Banded palm civet,"Banded palm civet,Claude Jourdan,Dog,Owston's palm civet,Hose's palm civet,List of mammals of Sumatra,Hemigalinae,Cat,List of mammals of Borneo,List of species protected by CITES Appendix II"
Cuniculus paca,1,Lowland paca,"Lowland paca,Paca,Mountain paca,Cuniculus hernandezi,Tunga penetrans,List of largest rodents,List of rodents,Cuniculus,Guerrero,Llanos"
Graptemys geographica,1,Northern map turtle,"Northern map turtle,Graptemys,Charles Alexandre Lesueur,Potomac River,List of reptiles of North America,List of reptiles of Canada,Painted turtle,Credit River,List of reptiles of Alabama,Aquatic turtles"
Graptemys hybrid,1,Pinta Island tortoise,"List of subspecies of Galápagos tortoise,Pinta Island tortoise,Yellow pond turtle,Chinese stripe-necked turtle,Red-eared slider,Mauremys pritchardi,Galápagos tortoise,Floreana giant tortoise,Chinese false-eyed turtle,Asian box turtle"
Hyaena hyaena,1,Striped hyena,"Striped hyena,Hyena,Hyæna,Brown hyena,Conus hyaena,Spotted hyena,HMS Hyaena,Arabian Desert,Yotvata Hai-Bar Nature Reserve,Cave hyena"
Proteles cristata,1,Aardwolf,"Aardwolf,Proteles,Hyena,Carnivora,Insectivore,Hooded seal,List of species protected by CITES Appendix III,List of carnivorans,Martial eagle,Verreaux's eagle-owl"
Martes flavigula,1,Yellow-throated marten,"Yellow-throated marten,Marten,Binturong,Wild boar,Sea mink,European pine marten,Fisher (animal),List of mustelids,American marten,Valley of Flowers National Park"
Meleagris ocellata,1,Ocellated turkey,"Ocellated turkey,Turkey (bird),Grouse,Galliformes,Thanksgiving dinner,King vulture,Turkey hunting,List of birds of Mexico,List of species protected by CITES Appendix III,Ornate hawk-eagle"
Potamotrygon spp.,1,Stingray,"Potamotrygonidae,List of species protected by CITES Appendix III,Potamotrygonocotyle chisholmae,Animal attacks in Latin America,Potamotrygonocotyle uruguayensis,Potamotrygonocotyle,Nukak,Kwaza language,Pacaya-Samiria National Reserve,List of freshwater aquarium fish species"
Potamotrygon hybrid,1,Stingray,"Potamotrygonidae,River Monsters,Alfred Russel Wallace,List of freshwater aquarium fish species"
Potamotrygon jabuti,1,Stingray,"Potamotrygon,Potamotrygonidae,Ocellate river stingray,Kwaza language"
Potamotrygon magdalenae,1,Stingray,"Potamotrygon magdalenae,Potamotrygon,Potamotrygonidae,Magdalena River,List of species protected by CITES Appendix III,List of fishes in the Magdalena River,List of least concern fishes,List of cartilaginous fish,IUCN Red List near threatened species (Animalia),List of endangered fishes"
